address,tokenId,nftKind,voucherTypeId,voucherAmountDOUDO,estimatedBaseTWD,memberLevelIndex,memberLevelName,memberRewardBasisPoints,membershipTokenId
0xaf48208b55e4f21aea32aa2e3ffa09284270e0f2,3,voucher,1,50,30,1,Common,0,5
0xaf48208b55e4f21aea32aa2e3ffa09284270e0f2,5,membership,,0,0,1,Common,0,5
0x6177849c1c1d5545fa855edd80148d0ba85dc3cf,10,membership,,0,0,1,Common,0,10
0xd89b57cac94faa54facfe29ddf8c2bb758714b6d,20,membership,,0,0,1,Common,0,20
0xcff6cf868bb860c9cdeac97e1099ff930bbbd441,41,membership,,0,0,1,Common,0,41
0xc66bc4206f6463171fdf5aae758d9a3be499494d,43,membership,,0,0,1,Common,0,43
0x226f0197d502e7ac87d1a76d6526945dfa9e4209,45,membership,,0,0,1,Common,0,45
0x80127228cce720a1a601f24ed0a3b1db2dd7aa27,46,voucher,9,5000,3000,0,NonMembership,0,0
0x3c69ccb986b5ca5b235a38a0a17c8d434805ba33,47,voucher,7,2000,1200,0,NonMembership,0,0
0x30a8222c315eea9c88e73990f06162954e93e5d4,52,membership,,0,0,1,Common,0,52
0x589f0e19104800148e6b1596026a0026166be90f,54,membership,,0,0,1,Common,0,54
0x71c91e562242c28cfa6f40c1d3a0ea6e7476be23,56,membership,,0,0,1,Common,0,56
0x3f44b51d065834854efa8971dedf0b02e962ed85,58,membership,,0,0,1,Common,0,58
0x32f069f9d853b90cef5aae6439ad527c201bde0b,59,membership,,0,0,1,Common,0,59
0xb455244aa0135c0cd7e25ca20d699a137ed32f1c,62,membership,,0,0,1,Common,0,62
0xb73ee1fdab06daf7f6fdbc482ce0e21cf5000878,65,membership,,0,0,1,Common,0,65
0xe0abf167fbe3dd05f5bee19b2803f8d9b28da2d3,68,membership,,0,0,1,Common,0,68
0xb1a3bf3f6c7ccb2f81c577d1b3ad73d552e0688b,70,membership,,0,0,1,Common,0,70
0xa2dce565ac02d7ab866ab8abd9473b68e015cca1,72,membership,,0,0,1,Common,0,72
0xd86e3b343db48553aa2cf657cf868f351f6c317e,75,membership,,0,0,1,Common,0,75
0x4228c00cccda6f5c2c69389b9851e9f767407e03,78,membership,,0,0,1,Common,0,78
0x267f617ccaf1675d97a3434bdf4d4830788f2f76,85,membership,,0,0,2,Silver,100,85
0xf583d136423278c746c30dcdb569c44a3b0341a2,90,membership,,0,0,2,Silver,100,90
0xc843559442fdc3720f29f03d408783e8215c6446,99,membership,,0,0,1,Common,0,99
0x9c414a9d0331db1dcae760f2fc916ef7b319bd42,103,membership,,0,0,1,Common,0,103
0x705b8d813e947c8685f0c9d0fca3ff2066062503,107,membership,,0,0,2,Silver,100,107
0x36545c0b24f2e478989320931158ba63caa51344,109,membership,,0,0,1,Common,0,109
0x55a8389a252cfd48b53743a0649f4e8f4f174af3,110,voucher,5,1000,600,0,NonMembership,0,0
0xd2be137fedfb4029604e8c0a7b2384c502f835f7,113,membership,,0,0,1,Common,0,113
0x2989328a286b0797cf561afdfa2b6f9814f8dbc3,148,voucher,3,250,150,0,NonMembership,0,0
0xd5ab5a857a3c7c73f6beeeeb0779de11f172cd44,150,membership,,0,0,1,Common,0,150
0x5583826f2c8b2bca4bb6ff6563df3f56a4204980,164,membership,,0,0,1,Common,0,164
0x467cee70e2b15a6868e318f02d713901a5b59408,186,membership,,0,0,1,Common,0,186
0xff48b12e3a3b5fe2b770cf15729696faecf96684,226,membership,,0,0,1,Common,0,226
0x91eb5fce5325c336c5c763d91dc323c6c960a6b4,266,membership,,0,0,3,Gold,150,266
0x2ef81c386f98c350b1e17d5dd6ed7db17cee3169,275,membership,,0,0,1,Common,0,275
0x9a0327cc0bcac15fcc3cb003a3fbdd74bc68a4b3,287,membership,,0,0,1,Common,0,287
0x29750f2f2d83715fe61b27790ca458409f9a1eb2,299,membership,,0,0,2,Silver,100,299
0x7e734420a277a46fb95e07d2bcaa7d16faa40b13,318,membership,,0,0,1,Common,0,318
0x6f5d0ebb8dfd879a04e2df932b4bc0c46e401f12,339,membership,,0,0,1,Common,0,339
0xe0bde167ce0e4ab7bd148676ae0908d481bfdc25,347,membership,,0,0,1,Common,0,347
0x32371ffdfdf4f863c44190f69dd7691d5a488b5c,348,membership,,0,0,1,Common,0,348
0xf315a3e3a9717d590454a3f190bb4be7302991a0,351,membership,,0,0,1,Common,0,351
0x0689c99e195690b8d53695ae498f61f39f0cef5c,358,membership,,0,0,1,Common,0,358
0x65d513c2eab287f9a7c41424913815373767b24e,364,membership,,0,0,1,Common,0,364
0xa1e965318567f54d865100f9972f9bd740ddbe54,369,membership,,0,0,1,Common,0,369
0x0edf05a2d27ba54dee62aed61f84ace138351911,382,membership,,0,0,4,Platinum,300,382
0x5027a19ea2146a8f2d3558698727c90230a3440d,385,membership,,0,0,1,Common,0,385
0xca4dc42029732d629dc867458eb53601fd9763c0,403,membership,,0,0,1,Common,0,403
0xe7a81e93c88852cab09f140c1d7f3cd37f90dd8b,415,membership,,0,0,2,Silver,100,415
0xd4bb3ad7156b9e6fac8509bf8cd60c625911ad69,421,voucher,9,5000,3000,0,NonMembership,0,0
0xed26df71d0278d429d7ec5536b6f9d9e2717d94d,443,membership,,0,0,1,Common,0,443
0x65f1467fda9dd7adea137378f6f7f4202eed22c1,445,membership,,0,0,1,Common,0,445
0xdf6574cd56818f6433e550e49eb5fb2d7b90ff33,478,membership,,0,0,3,Gold,150,478
