seriesId,seriesName,prizeId,prizeGroup,prizeName,quantity,holderCount,tokenIds,holders
0,YU-GI-OH! SERIES VOL.3,5,E,E1,3,3,31|38|39,0x5027a19ea2146a8f2d3558698727c90230a3440d|0x7104e71cd54309d0df2ca799b6649bbc36799ffd|0x82e0d323791671ee031e274f0ef36a6b1c63f23e
0,YU-GI-OH! SERIES VOL.3,18,G,G1,1,1,4,0x5027a19ea2146a8f2d3558698727c90230a3440d
1,Comic Nova14 - tinaaaaalee.cosplay,3,C,C1,1,1,17,0x6f722c329769959421f1179a084d61f7517c63db
3,Hololive Art Acrylic Collection,2,B,B1,1,1,7,0x5027a19ea2146a8f2d3558698727c90230a3440d
4,Stranger Things - The Unknown World,1,A,A1,1,1,32,0x6f722c329769959421f1179a084d61f7517c63db
4,Stranger Things - The Unknown World,5,E,E1,1,1,264,0xe70cd546076e9d6122e3302c6d40858e75cdbaf4
4,Stranger Things - The Unknown World,6,F,F1,3,2,33|36|263,0x6f722c329769959421f1179a084d61f7517c63db|0xe70cd546076e9d6122e3302c6d40858e75cdbaf4
4,Stranger Things - The Unknown World,8,G,G2,1,1,260,0xe70cd546076e9d6122e3302c6d40858e75cdbaf4
4,Stranger Things - The Unknown World,9,G,G3,1,1,35,0x6f722c329769959421f1179a084d61f7517c63db
4,Stranger Things - The Unknown World,10,G,G4,1,1,261,0xe70cd546076e9d6122e3302c6d40858e75cdbaf4
4,Stranger Things - The Unknown World,12,H,H1,2,2,34|262,0x6f722c329769959421f1179a084d61f7517c63db|0xe70cd546076e9d6122e3302c6d40858e75cdbaf4
8,Chiikawa Super Big Series,4,D,D1,1,1,349,0x1c4c07d0aefca555eda7d9cbc7ae95b2a58d6abf
13,Hangyodon - Music in the background,5,E,E1,1,1,2392,0xe0bde167ce0e4ab7bd148676ae0908d481bfdc25
13,Hangyodon - Music in the background,7,G,G1,1,1,901,0xb73ee1fdab06daf7f6fdbc482ce0e21cf5000878
13,Hangyodon - Music in the background,11,K,K1,1,1,900,0xb73ee1fdab06daf7f6fdbc482ce0e21cf5000878
14,Chiikawa Birthday Series x Super Big Series,1,A,A1,1,1,654,0x0fcede2356fc8307a6534046c10826362d64ece4
14,Chiikawa Birthday Series x Super Big Series,2,B,B1,1,1,674,0x27ab7f619b24f65b3af36a73da0034ab2d1a6aae
14,Chiikawa Birthday Series x Super Big Series,3,C,C1,3,3,653|657|695,0x0fcede2356fc8307a6534046c10826362d64ece4|0x6177849c1c1d5545fa855edd80148d0ba85dc3cf|0xd653895e6a1747095cf1ef7c4cef41f9dcb53d19
14,Chiikawa Birthday Series x Super Big Series,4,D,D1,4,2,651|678|691|747,0x0fcede2356fc8307a6534046c10826362d64ece4|0x6177849c1c1d5545fa855edd80148d0ba85dc3cf
14,Chiikawa Birthday Series x Super Big Series,5,E,E1,3,3,655|659|745,0x0fcede2356fc8307a6534046c10826362d64ece4|0x6177849c1c1d5545fa855edd80148d0ba85dc3cf|0xd653895e6a1747095cf1ef7c4cef41f9dcb53d19
14,Chiikawa Birthday Series x Super Big Series,6,F,F1,22,4,652|656|658|660|673|675|677|679|680|681|682|692|693|694|738|739|740|741|742|743|744|746,0x0fcede2356fc8307a6534046c10826362d64ece4|0x27ab7f619b24f65b3af36a73da0034ab2d1a6aae|0x6177849c1c1d5545fa855edd80148d0ba85dc3cf|0xd653895e6a1747095cf1ef7c4cef41f9dcb53d19
15,Chiikawa-Hachiware Birthday Series x Super Big Series,1,A,A1,1,1,686,0x6177849c1c1d5545fa855edd80148d0ba85dc3cf
15,Chiikawa-Hachiware Birthday Series x Super Big Series,2,B,B1,1,1,706,0x6177849c1c1d5545fa855edd80148d0ba85dc3cf
15,Chiikawa-Hachiware Birthday Series x Super Big Series,3,C,C1,4,1,685|699|704|715,0x6177849c1c1d5545fa855edd80148d0ba85dc3cf
15,Chiikawa-Hachiware Birthday Series x Super Big Series,4,D,D1,4,1,684|696|700|734,0x6177849c1c1d5545fa855edd80148d0ba85dc3cf
15,Chiikawa-Hachiware Birthday Series x Super Big Series,5,E,E1,3,1,683|709|735,0x6177849c1c1d5545fa855edd80148d0ba85dc3cf
15,Chiikawa-Hachiware Birthday Series x Super Big Series,6,F,F1,22,1,687|697|698|701|702|703|705|707|708|710|711|712|713|714|716|717|718|719|720|733|736|737,0x6177849c1c1d5545fa855edd80148d0ba85dc3cf
17,One Piece Legend Hero,2,B,B1,1,1,1199,0xe0bde167ce0e4ab7bd148676ae0908d481bfdc25
17,One Piece Legend Hero,3,C,C1,1,1,1201,0x5027a19ea2146a8f2d3558698727c90230a3440d
