address,nftCount,tokenIds,prizeCounts
0x0edf05a2d27ba54dee62aed61f84ace138351911,1,2621,12:1
0x0fcede2356fc8307a6534046c10826362d64ece4,5,651|652|653|654|655,1:1|3:1|4:1|5:1|6:1
0x1c4c07d0aefca555eda7d9cbc7ae95b2a58d6abf,1,349,4:1
0x267f617ccaf1675d97a3434bdf4d4830788f2f76,1,1925,8:1
0x27ab7f619b24f65b3af36a73da0034ab2d1a6aae,3,673|674|675,2:1|6:2
0x29750f2f2d83715fe61b27790ca458409f9a1eb2,8,1993|1994|2103|2104|2105|2109|2186|2472,8:1|9:3|11:4
0x30a8222c315eea9c88e73990f06162954e93e5d4,32,806|807|808|809|810|811|812|813|814|815|816|817|818|819|820|821|822|823|824|825|826|827|828|829|830|831|832|833|834|835|836|850,2:31|5:1
0x32371ffdfdf4f863c44190f69dd7691d5a488b5c,2,2266|2267,9:2
0x32f069f9d853b90cef5aae6439ad527c201bde0b,13,851|852|853|863|864|865|866|867|868|869|877|878|879,2:13
0x467cee70e2b15a6868e318f02d713901a5b59408,20,1102|1103|1104|1105|1106|1107|1108|1109|1110|1111|1112|1113|1114|1115|1116|1117|1118|1119|1120|1121,2:1|6:1|7:4|8:4|9:3|10:7
0x5027a19ea2146a8f2d3558698727c90230a3440d,43,4|7|38|1201|2352|2353|2404|2405|2406|2407|2408|2409|2410|2411|2412|2413|2414|2415|2416|2417|2418|2419|2420|2421|2422|2423|2424|2425|2426|2427|2428|2429|2430|2431|2432|2433|2434|2435|2436|2437|2613|2615|2616,1:1|2:1|3:10|4:25|5:1|7:1|8:3|18:1
0x589f0e19104800148e6b1596026a0026166be90f,3,846|847|848,3:1|4:2
0x5fa5cb8cb9bfc2a95d2ad355556b8efeb0c1950b,10,2240|2241|2242|2243|2244|2245|2246|2247|2248|2249,2:1|7:2|8:4|9:3
0x6177849c1c1d5545fa855edd80148d0ba85dc3cf,59,677|678|679|680|681|682|683|684|685|686|687|688|689|690|691|692|693|694|695|696|697|698|699|700|701|702|703|704|705|706|707|708|709|710|711|712|713|714|715|716|717|718|719|720|733|734|735|736|737|738|739|740|741|742|743|744|745|746|747,1:1|2:1|3:5|4:7|5:4|6:38|7:1|8:2
0x65f1467fda9dd7adea137378f6f7f4202eed22c1,1,2643,2:1
0x67f025f97e6d40fd9ed75d0a7cbe91ddfe073fa2,12,2136|2137|2250|2251|2252|2253|2254|2255|2256|2257|2258|2259,3:1|5:1|6:2|7:5|8:1|9:2
0x6beb8db4422e82c2f5b5297e5460eb6b8042ee23,1,1460,3:1
0x6f722c329769959421f1179a084d61f7517c63db,6,17|32|33|34|35|36,1:1|3:1|6:2|9:1|12:1
0x705b8d813e947c8685f0c9d0fca3ff2066062503,6,2332|2382|2383|2384|2385|2614,5:1|7:5
0x7104e71cd54309d0df2ca799b6649bbc36799ffd,1,31,5:1
0x71c91e562242c28cfa6f40c1d3a0ea6e7476be23,10,837|838|839|840|841|842|843|844|845|849,2:10
0x7a779f98902e3e7f35ea7bd153d81a88acbe40b7,60,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2040|2041|2042|2043|2044|2045|2048|2049|2050|2051|2052|2053|2054|2055|2056|2058|2059|2061|2062|2063|2064|2066|2067|2068|2069,6:13|7:16|8:14|9:17
0x7e91104c72aea47b9537ba83438ad7e387c321a6,12,2339|2340|2341|2342|2343|2344|2345|2346|2347|2348|2349|2350,2:2|3:10
0x82e0d323791671ee031e274f0ef36a6b1c63f23e,1,39,5:1
0x900ec54beda87a15f7fd4427063c6d560c07c6bf,1,1543,999:1
0x9c414a9d0331db1dcae760f2fc916ef7b319bd42,1,1083,5:1
0xa2dce565ac02d7ab866ab8abd9473b68e015cca1,1,905,7:1
0xa4b99219836e747e5469487eeedb02b70301f79c,1,1080,24:1
0xaf8b467b3048414ef93589f1cf990fb2448e4fda,1,672,5:1
0xb2cd97f80826f4158b2adb84ec97ca36a121c099,1,1544,999:1
0xb455244aa0135c0cd7e25ca20d699a137ed32f1c,9,871|872|873|874|875|876|1084|1085|1086,2:6|6:1|7:1|8:1
0xb73ee1fdab06daf7f6fdbc482ce0e21cf5000878,22,880|881|882|883|884|885|886|887|888|889|890|891|892|893|894|895|896|897|898|899|900|901,2:20|7:1|11:1
0xb90001588e24d7c5031556a9b6b08c614995ce37,1,1202,12:1
0xc38da45533b648d6f90281e17f685bb03fe6feb3,1,797,2:1
0xc66bc4206f6463171fdf5aae758d9a3be499494d,2,798|799,2:2
0xd653895e6a1747095cf1ef7c4cef41f9dcb53d19,5,656|657|658|659|660,3:1|5:1|6:3
0xd9a919592e9c799f5734fb388d71deff22cdcd1a,5,636|637|638|639|640,6:1|7:4
0xdf6574cd56818f6433e550e49eb5fb2d7b90ff33,6,2739|2740|2744|2745|2746|2747,7:1|8:2|9:3
0xe0abf167fbe3dd05f5bee19b2803f8d9b28da2d3,1,902,7:1
0xe0bde167ce0e4ab7bd148676ae0908d481bfdc25,19,1187|1188|1189|1190|1191|1192|1193|1194|1195|1196|1197|1198|1199|1200|2354|2392|2617|2618|2619,2:1|5:3|6:3|7:5|8:6|10:1
0xe70cd546076e9d6122e3302c6d40858e75cdbaf4,5,260|261|262|263|264,5:1|6:1|8:1|10:1|12:1
0xe7a81e93c88852cab09f140c1d7f3cd37f90dd8b,3,2741|2742|2743,6:2|13:1
0xed26df71d0278d429d7ec5536b6f9d9e2717d94d,1,2612,8:1
0xf583d136423278c746c30dcdb569c44a3b0341a2,3,1529|2111|2293,1:1|3:1|8:1
